,title
608,[ARR][2205190040006377 ][Procter and Gamble]the spark driver has stopped unexpectedly and is restarting. your notebook will be automatically reattached.
609,[ARR][2204260040005094 ][Geico]Unable to set log destiation to dbfs mnt
610,[ARR][2204260040005094 ][Geico]Unable to set log destiation to dbfs mnt
611,ARR Customer NBC Universal: Issue writing from Blob Storage to Azure Synapse DW
612,Error Message: 'JavaPackage' object is not callable-
613,Unable to launch a large cluster
614,Sporadic connection error when writing to feature table
615,2205190030000562 | Performance
616,[ARR][2204260040005094 ][Geico]Unable to set log destiation to dbfs mnt
617,Account Owner EmailId Change Request
618,2205180040008873 | Metadata exception
619,Python version/library issue - hundreds of jobs are failing starting today
